Comment,Link,Name,Rating,Reviews Count,Speciality
"CARING, COMMPASSIONATE. MASTER. There is no one to match HIM.
",ratemds.com/doctor-ratings/493412/Dr-Mohammad-Alam-Chicago-IL.html,Dr. Mohammad Alam,5,3,Family Doctor / G.P.
"Dr. Chiplunkar is a fabulous doctor! For 10 years, she has taken care of my parents, providing them with excellent medical care. My parents have always felt well tak... Read more",ratemds.com/doctor-ratings/us-il-chicago-sheba-chiplunkar,Dr. Sheba Chiplunkar,5,3,Family Doctor / G.P.
Very good and instinctive. Helpful on several issues including preventative and lifestyle.,ratemds.com/doctor-ratings/3014311/Dr-CEZAR+B.-TOLENTINO-Chicago-IL.html,Dr. Cezar B. Tolentino,5,3,Family Doctor / G.P.
"If you ever say anything against vacination , he will get very rude and will tell you to change a doctor. in general he is very cold person, does not show any care a... Read more",ratemds.com/doctor-ratings/205057/Dr-Ahmad-Bastani-Chicago-IL.html,Dr. Ahmad Bastani,4.4,5,Family Doctor / G.P.
"Great doctor , nice staff, ,I can recommend this office....",ratemds.com/doctor-ratings/475864/Dr-Slawomir+S.-Dabrowski-Chicago-IL.html,Dr. Slawomir S. Dabrowski,4.92,3,Family Doctor / G.P.
She has been my dr for 13 years now and I have no complaints. She is excellent,ratemds.com/doctor-ratings/14690/Dr-Debbie+M.-Grandinetti-CHICAGO-IL.html,Dr. Debbie M. Grandinetti,4.23,12,Family Doctor / G.P.
Dr b is very helpful and always takes her time with me. ,ratemds.com/doctor-ratings/205759/Dr-Heidi+S.-Brookenthal-Chicago-IL.html,Dr. Heidi S. Brookenthal,3.91,8,Family Doctor / G.P.
He is very approachable and treats me with respect. I like the fact that he does not waste my time if something is out of his area of expertise he will refer me to t... Read more,ratemds.com/doctor-ratings/113800/Dr-James+P.-Valek-CHICAGO-IL.html,Dr. James P. Valek,4.75,4,Family Doctor / G.P.
"He is a great doctor. He chats with you, takes his time, jokes around, and makes you feel very comfortable. He is also quite handsome. He sometimes even answers the ... Read more",ratemds.com/doctor-ratings/66287/Dr-Dragan-Djordjevic-Chicago-IL.html,Dr. Dragan Djordjevic,4.75,5,Family Doctor / G.P.
"ALWAYS AVAILABLE, WILLING TO COME IN ON HIS OFF DAYS IF NEEDED.",ratemds.com/doctor-ratings/886001/Dr-Richard+M.-Hayes-Chicago-IL.html,Dr. Richard M. Hayes,4.75,3,Family Doctor / G.P.
This week will be 10 weeks since my surgery with Dr. Phillips. The pain and disability from my L4/L5 disc herniation was killing me and after 4 months it turned me ... Read more,ratemds.com/doctor-ratings/2854732/Dr-FRANK+M.-PHILLIPS-Chicago-IL.html,Dr. Frank M. Phillips,4.75,3,Family Doctor / G.P.
"Best doctor I’ve ever seen. His knowledge, professional manner and diagnostic ability are superior. But especially his deep commitment and caring for each patient ... Read more",ratemds.com/doctor-ratings/158261/Dr-Thomas+R.-Klein-Chicago-IL.html,Dr. Thomas R. Klein,4.25,4,Family Doctor / G.P.
Here are my personal opinions about Dr. Lee based on our interactions with him over a year or so: Dr. Lee comes across as friendly and helpful in the beginning. Howe... Read more,ratemds.com/doctor-ratings/116156/Dr-Kew+Jung-Lee-Chicago-IL.html,Dr. Kew Jung Lee,4,5,Family Doctor / G.P.
"Dr. Knox is a wonderful physician. He has the experience to make appropriate choices about my healthcare needs. He is careful and reasonable, explaining his decisio... Read more",ratemds.com/doctor-ratings/478727/Dr-Timothy+E.-Knox-Chicago-IL.html,Dr. Timothy E. Knox,4.5,3,Family Doctor / G.P.
"BEWARE!!! This Dr.'s office will bill you for things outside of what your insurance covers, without telling you, and then you get billed for a test or procedure whi... Read more",ratemds.com/doctor-ratings/176189/Dr-Bruce-Huck-Chicago-IL.html,Dr. Bruce Huck,3.79,6,Family Doctor / G.P.
"I went Knapp,sr in the 70's and 80's he would always listen to your concerns","ratemds.com/doctor-ratings/85342/Dr-Keith+C.-Knapp,+Sr.-Chicago-IL.html","Dr. Keith C. Knapp, Sr.",4.29,4,Family Doctor / G.P.
"Great doctor. She was very friendly and made me feel comfortable. Quick to get an an appointment, too.",ratemds.com/doctor-ratings/3118795/Dr-NEETI-KAPUR-Chicago-IL.html,Dr. Neeti Kapur,5,2,Family Doctor / G.P.
she is respectful and compassionate. spends time with me.,ratemds.com/doctor-ratings/870638/Dr-Asma-Azhar-CHICAGO-IL.html,Dr. Asma Azhar,5,2,Family Doctor / G.P.
"OUTSTANDING!! He was wonderful diagnostition. He was compassionate, warm, and very knowledgable. I was scare but he helped me and my family through a very difficult ... Read more",ratemds.com/doctor-ratings/84593/Dr-Albert-Rosanova-Chicago-IL.html,Dr. Albert Rosanova,5,3,Family Doctor / G.P.
I would recommend this doctor. helped me with my type 2 diabetes,ratemds.com/doctor-ratings/200060/Dr-Wojciech+Z.-Grzeskowiak-Chicago-IL.html,Dr. Wojciech Z. Grzeskowiak,5,2,Family Doctor / G.P.
"The most knowledgeable, caring and compassionate doctor I have ever had the pleasure of knowing. I'd recommend Dr. Feldman to anyone! I wish there were more doctors ... Read more",ratemds.com/doctor-ratings/191470/Dr-Elizabeth-Feldman-Chicago-IL.html,Dr. Elizabeth Feldman,5,2,Family Doctor / G.P.
My mother started kidney dialysis at age 87. She kept complaining how tired she was and slept all day long. Finally after 9 months of going down hill she was broug... Read more,ratemds.com/doctor-ratings/29142/Dr-Krister+M-Johansson-CHICAGO-IL.html,Dr. Krister M Johansson,5,2,Family Doctor / G.P.
Words can never express the AWESOMENESS of Dr. David Dionisio. In 37 yrs of life he is the BEST doctor Ive had. I have 2 boys 9&12 and a 16 yr old girl. They LOVE Dr... Read more,ratemds.com/doctor-ratings/3420226/Dr-DAVID-DIONISIO-Chicago-IL.html,Dr. David Dionisio,5,2,Family Doctor / G.P.
Wonderful Dr. Very patient knowledgeable and courteous. ,ratemds.com/doctor-ratings/3030089/Dr-ROBERT+P.-PIOTROWSKI-Chicago-IL.html,Dr. Robert P. Piotrowski,5,2,Family Doctor / G.P.
Wonderful! Would highly recommend to anyone lucky enough to have him.,ratemds.com/doctor-ratings/3345732/Dr-STYLIANOS-ANGELAKOS-Chicago-IL.html,Dr. Stylianos Angelakos,5,2,Family Doctor / G.P.
Very knowledgeable and confident. He has a real feel for the body and he really cares. He got my son in and was very accomodating. Hard to find somebody this good. ... Read more,ratemds.com/doctor-ratings/628876/Dr-Dane+J.-Shepherd-Chicago-IL.html,Dr. Dane J. Shepherd,5,2,Family Doctor / G.P.
"Dr. Excellent listener and helpful , office clean great staff",ratemds.com/doctor-ratings/195446/Dr-Joseph+B.-Atto-Chicago-IL.html,Dr. Joseph B. Atto,5,2,Family Doctor / G.P.
"Before i moved out of the area, Luba was my doctor. She is amazing! Great bedside manner, and genuinely cares!",ratemds.com/doctor-ratings/493425/Dr-Luba+L.-Babich-Chicago-IL.html,Dr. Luba L. Babich,5,2,Family Doctor / G.P.
I've been with him a lot of years. He's thorough and knowledgeable and a pleasure to work with.,ratemds.com/doctor-ratings/884542/Dr-Mark+W.-Ables-Evanston-IL.html,Dr. Mark W. Ables,5,2,Family Doctor / G.P.
"This doctor is the worst. He had me believing for two years, that I only had one kidney. NOT TRUE! He refuses to listen, and talks over patients. One office visit wh... Read more",ratemds.com/doctor-ratings/493453/Dr-Stanislaw-Bryjak-Chicago-IL.html,Dr. Stanislaw Bryjak,3.71,6,Family Doctor / G.P.
Dr Yang is incredibly detailed and really took time to get to know me the patient and went over everything in my medical history. Really found some things to monito... Read more,ratemds.com/doctor-ratings/868446/Dr-Wen-Ho-Yang-Chicago-IL.html,Dr. Wen-Ho Yang,4,4,Family Doctor / G.P.
"very friendly, knowledgable doctor who cares about his patient and takes his time to listen which is hard to find now a days... def recommeneded and staff is also v.... Read more",ratemds.com/doctor-ratings/129064/Dr-Obidike+A.-Nwakudu-Chicago-IL.html,Dr. Obidike A. Nwakudu,4.25,6,Family Doctor / G.P.
"I have been to many docs over the years, until I finally found the best. He has always correctly diagnosed me and my family over the years. My children also love him... Read more",ratemds.com/doctor-ratings/203494/Dr-Peter+Anthony-Calabrese-Chicago-IL.html,Dr. Peter Anthony Calabrese,4.88,2,Family Doctor / G.P.
BEST!OLD FASHION WITH 100&#037; KNOWLEDGE. LISTENS AND CARES!,ratemds.com/doctor-ratings/103969/Dr-Solomon-Sidea-Chicago-IL.html,Dr. Solomon Sidea,4,3,Family Doctor / G.P.
"
I loved her bedside manner and her staff are efficient, friendly and helpful.
",ratemds.com/doctor-ratings/124770/Dr-Rochelle+L.-Hawkins-Chicago-IL.html,Dr. Rochelle L. Hawkins,4.92,3,Family Doctor / G.P.
"I have never had a more tardy, rude, disrespectful, and self-entitled doctor than Kevin Murphy. He routinely makes snarky comments that are belittling and wholly unp... Read more",ratemds.com/doctor-ratings/17968/Dr-Kevin+G.-Murphy-Chicago-IL.html,Dr. Kevin G. Murphy,3.29,22,Family Doctor / G.P.
"MEDICATION SHE PRESCRIBED WAS NOT KNOWN TO HER, SHE KNEW I HAD NO INSURANCE AND PRESCRIBED 30 PILLS FOR $435.99. THIS PRACTICE IS LAUGHABLE. BUT HEY, SHE HAS ANOTHER... Read more",ratemds.com/doctor-ratings/27776/Dr-Julita-Sadowski-CHICAGO-IL.html,Dr. Julita Sadowski,3.83,6,Family Doctor / G.P.
Dr. Garcia is very professional. She listens and is not judgemental.,ratemds.com/doctor-ratings/185816/Dr-Robyn-Garcia-Chicago-IL.html,Dr. Robyn Garcia,4.75,2,Family Doctor / G.P.
Dr shaher is an awesome human being and a doctor. He is good teacher and patient doctor. I have learnt so much from him. He truly addresses every complaint a patient... Read more,ratemds.com/doctor-ratings/2632589/Dr-AHMAD+A.-SHAHER-Chicago-IL.html,Dr. Ahmad A. Shaher,4.75,2,Family Doctor / G.P.
"Knowledgeable, friendly, fair, empathetic. His view encompasses both allopathic and homeopathic remedies.",ratemds.com/doctor-ratings/143150/Dr-Julius-Kaplan-Chicago-IL.html,Dr. Julius Kaplan,3.88,4,Family Doctor / G.P.
I love Dr. Braunstein!She is on top of everything and very knowledgeable. My family and I trust her without question. She is the best!,ratemds.com/doctor-ratings/161333/Dr-Sara-Braunstein-Chicago-IL.html,Dr. Sara Braunstein,4.17,3,Family Doctor / G.P.
 Best doctor I've ever had in my entire life. Family doctor. Always make time for me no matter how busy he was. Visited me in the hospital multiple times even though... Read more,ratemds.com/doctor-ratings/1308/Dr-Ronald+J.-Peplow-CHICAGO-IL.html,Dr. Ronald J. Peplow,3.46,16,Family Doctor / G.P.
Great doctor!Very professional. Stuff is very polite. I highly recommend her to other!,ratemds.com/doctor-ratings/742006/Dr-Halyna-Boryslavska-Chicago-IL.html,Dr. Halyna Boryslavska,3.6,5,Family Doctor / G.P.
As with the other review I feel lucky to have found Dr. O'Connor. She is such a great doctor that I still see her even though she moved > 20 miles away from the cit... Read more,ratemds.com/doctor-ratings/100714/Dr-Debra-O&apos;Connor-CHICAGO-IL.html,Dr. Debra O'Connor,4.33,3,Family Doctor / G.P.
"doctor is nurturing, but office overall is non professional",ratemds.com/doctor-ratings/155500/Dr-Julie+V.-Taylor-CHICAGO-IL.html,Dr. Julie V. Taylor,4.08,3,Family Doctor / G.P.
He had planned on sending my husband home after his cardiologist told us that he needed at least 10 day to 2 weeks in rehab to regain his strength and would have if ... Read more,ratemds.com/doctor-ratings/21351/Dr-Tobia+A.-Barbato-CHICAGO-IL.html,Dr. Tobia A. Barbato,2.75,26,Family Doctor / G.P.
"Continuously late even though it doesn't appear that she's overbooking. In my case, she gave 1 refill for the year instead of 3 as is customary and missed writing 2 ... Read more",ratemds.com/doctor-ratings/874932/Dr-Margaret-Vandyk-Chicago-IL.html,Dr. Margaret Vandyk,4,3,Family Doctor / G.P.
"When my Dr. (same practice) retired I switched my kids and I to Dr. Kiefer. Don't let the negative reviews deter you, he is a kind, caring and thorough doctor. He to... Read more",ratemds.com/doctor-ratings/84130/Dr-Peter+J.-Kiefer-Des+Plaines-IL.html,Dr. Peter J. Kiefer,3.17,8,Family Doctor / G.P.
"Good: She is funny and experienced
bad: The wait is at least 2 hrs, the office is a MESS, Receptionist is rude
WORST: She abandoned me days before my Labor. I had... Read more",ratemds.com/doctor-ratings/475230/Dr-Lubov+A.-Klemine-Chicago-IL.html,Dr. Lubov A. Klemine,3.02,10,Family Doctor / G.P.
"I've been seeing Dr. Scott for about 7 years. She is caring, she personally calls with critical test results, usually takes the time to provide background info. The ... Read more",ratemds.com/doctor-ratings/125677/Dr-Kristin-Scott-Chicago-IL.html,Dr. Kristin Scott,4.2,5,Family Doctor / G.P.
"Dr. Shipley was very helpful to me, quickly identifying several conditions I was not aware of, some life-threatening. She was compassionate, called my home to infor... Read more",ratemds.com/doctor-ratings/35028/Dr-Patricia-Shipley-Chicago-IL.html,Dr. Patricia Shipley,3.92,3,Family Doctor / G.P.
"although pleasant - but hesitant, sometimes not focused enough",ratemds.com/doctor-ratings/404362/Dr-Ewa-Jachimowicz-Chicago-IL.html,Dr. Ewa Jachimowicz,3.92,3,Family Doctor / G.P.
"Dr. Vargas has been our family doctor for more than 20 years. When my 5 children went away to college, they would travel home to see only him. Cannot sat enough abou... Read more",ratemds.com/doctor-ratings/204800/Dr-Rafael+J.-Vargas-Chicago-IL.html,Dr. Rafael J. Vargas,4.38,2,Family Doctor / G.P.
This office staffs have very poor judgements on their patients.,ratemds.com/doctor-ratings/21349/Dr-Theodore+F.-Zbiegien-Chicago-IL.html,Dr. Theodore F. Zbiegien,2.74,19,Family Doctor / G.P.
"I, too, am shocked by the poor review left. Dr Munoz is honestly the most compassionate doctor I've ever met. She's so invested in her patients, she's not afraid to ... Read more",ratemds.com/doctor-ratings/2575459/Dr-KRISHNAMURTI-MUNOZ-CHICAGO-IL.html,Dr. Krishnamurti Munoz,3.83,3,Family Doctor / G.P.
"Excellent service every time! On time, courteous, ",ratemds.com/doctor-ratings/897599/Dr-Jifunza+C.-Wright-Chicago-IL.html,Dr. Jifunza C. Wright,3.83,3,Family Doctor / G.P.
Dr. Daly is an absolutely wonderful doctor. He is very friendly and warm and has always given myself and my family the best care. We've never had a problem getting a... Read more,ratemds.com/doctor-ratings/24574/Dr-Gregory-Daly-Chicago-IL.html,Dr. Gregory Daly,4.46,3,Family Doctor / G.P.
Quite rude and unmotivated. I wouldn't call this doctor caring nor compassionate. Very slow and doesn't ask questions to get to root of problem. She would rather ... Read more,ratemds.com/doctor-ratings/3346562/Dr-LOLICHANDRA-KADIYALA-Chicago-IL.html,Dr. Lolichandra Kadiyala,3.44,4,Family Doctor / G.P.
I've been seeing Dr. Margolis for over a year now and I'm not sure why? He seems nice hiwever he has never really guven the impression that he wanted to know me. Tim... Read more,ratemds.com/doctor-ratings/895883/Dr-Richard+A.-Margolin-CHICAGO-IL.html,Dr. Richard A. Margolin,3.25,5,Family Doctor / G.P.
"I've been seeing Dr. Macentee since I was a child. Yes ,he is very busy and that may mean you wait longer than usual. However,his care is unmatched. Knowledgeable,ki... Read more",ratemds.com/doctor-ratings/3308299/Dr-PETER+F.-MACENTEE-Chicago-IL.html,Dr. Peter F. Macentee,3.67,3,Family Doctor / G.P.
He's awesome! Ravi is such a friendly and understanding guy.,ratemds.com/doctor-ratings/176188/Dr-Ravi+T.-Barnabas-Chicago-IL.html,Dr. Ravi T. Barnabas,3.67,3,Family Doctor / G.P.
The doctor regretfully uses his RX pad as a tool for income. Will not renew your RX if you do not see him on his time table not what is UCR/usual customary and reaso... Read more,ratemds.com/doctor-ratings/128691/Dr-Ted+J.-Jagielo-Chicago-IL.html,Dr. Ted J. Jagielo,2.53,21,Family Doctor / G.P.
He explained everything he was doing - tests and such,ratemds.com/doctor-ratings/3658121/Dr-SUMIT-BAGGA-CHICAGO-IL.html,Dr. Sumit Bagga,4.13,2,Family Doctor / G.P.
I am very surprised at the negative comment for dr samuels. She is never rude always attentive and wants to make sure you make healthy life changes before prescribin... Read more,ratemds.com/doctor-ratings/172502/Dr-Vicki+R.-Samuels-CHICAGO-IL.html,Dr. Vicki R. Samuels,2.68,11,Family Doctor / G.P.
"I was double billed during a visit to this office for my annual physical, so they charged me once and my insurance company once. Dr. Clancy asked me questions about ... Read more",ratemds.com/doctor-ratings/3247725/Dr-JAMES+P.-CLANCY-Chicago-IL.html,Dr. James P. Clancy,3.58,3,Family Doctor / G.P.
"Dr. Ahmed, as busy as she is, always makes the time to help me understand my illness and gives me a boost of energy at each appointment. She's more than just a docto... Read more",ratemds.com/doctor-ratings/21814/Dr-Safia-Ahmed-Chicago-IL.html,Dr. Safia Ahmed,3.08,4,Family Doctor / G.P.
"useless test wrong prescription, does not listen well",ratemds.com/doctor-ratings/21535/Dr-Diane+Mari-Bibbs-Chicago-IL.html,Dr. Diane Mari Bibbs,4,5,Family Doctor / G.P.
hate the walk in wait but appt wait not long at all....,ratemds.com/doctor-ratings/133933/Dr-Vasantha-Naidu-Chicago-IL.html,Dr. Vasantha Naidu,4,2,Family Doctor / G.P.
"Best doctor, patient great bed side manner very knowledgeable ",ratemds.com/doctor-ratings/3387245/Dr-BRIAN-ZATOR-Chicago-IL.html,Dr. Brian Zator,4,2,Family Doctor / G.P.
Horrible and not empathetic whatsoever! Both the receptionist and the doctor were very rude. They didn’t care that I was in physical pain whatsoever. ,ratemds.com/doctor-ratings/125877/Dr-Bohdan+G.-Dudas-Chicago-IL.html,Dr. Bohdan G. Dudas,2.42,11,Family Doctor / G.P.
"Excellent bedside manners, wonderful demeanor and he really listen to the patient. I love Dr. T!!!",ratemds.com/doctor-ratings/475017/Dr-Jeffrey+D.-Tiemstra-Chicago-IL.html,Dr. Jeffrey D. Tiemstra,3.88,2,Family Doctor / G.P.
DR. M. Villalobos exemplifies tutelary to her patients. Great physician!,ratemds.com/doctor-ratings/871141/Dr-Milagros-Villalobos-Chicago-IL.html,Dr. Milagros Villalobos,3.88,2,Family Doctor / G.P.
I was told to get get help from a physical therapist. This guy didnt even diagnoses me. He said theyll do it when i get there. I never got pt and he avoiding my call... Read more,ratemds.com/doctor-ratings/478399/Dr-Maximo-Bermudez-Chicago-IL.html,Dr. Maximo Bermudez,3.88,2,Family Doctor / G.P.
"one of the best doctors Ive ever see. He's a genuine person, passionate about his patients.",ratemds.com/doctor-ratings/3239236/Dr-SEBASTIAN-JOSEPH-CHICAGO-IL.html,Dr. Sebastian Joseph,5,1,Family Doctor / G.P.
Doctor Niby Mathew is a one of the best and most skillful American physicians I have ever seen. She is very proficient and very knowledgeable in about every medical ... Read more,ratemds.com/doctor-ratings/3136166/Dr-NIBY-MATHEW-Chicago-IL.html,Dr. Niby Mathew,5,1,Family Doctor / G.P.
Great doctor. Very pleasant and professional. 5 stars definitely,ratemds.com/doctor-ratings/3259315/Dr-MAURICE+A.-GUZMAN-Chicago-IL.html,Dr. Maurice A. Guzman,5,1,Family Doctor / G.P.
Very knowledgeable doctor and very nice. Easy to get in and see her.,ratemds.com/doctor-ratings/3671165/Dr-YESENIA-BAHENA-CHICAGO-IL.html,Dr. Yesenia Bahena,5,1,Family Doctor / G.P.
I highly recommend her she is a very good doctor and patient ,ratemds.com/doctor-ratings/3896823/Dr-IRINA-DANIEL-CHICAGO-IL.html,Dr. Irina Daniel,5,1,Family Doctor / G.P.
Dr Roberts is very caring about her patients and seeks to find the best way to care for them.,ratemds.com/doctor-ratings/3563711/Dr-ERIN+K.-ROBERTS-CHICAGO-IL.html,Dr. Erin K. Roberts,5,1,Family Doctor / G.P.
"Exceptional service, accurate diagnosis and easy to understand instructions. Pleasant experience. Would highly recommend",ratemds.com/doctor-ratings/2486335/Dr-ABDULHAMID+S.-KESWANI-Chicago-IL.html,Dr. Abdulhamid S. Keswani,5,1,Family Doctor / G.P.
"Dr. Golec is competent, caring and compassionate. He's been my primary care doctor for years. He's simply the best.",ratemds.com/doctor-ratings/478926/Dr-Janusz+E.-Golec-Chicago-IL.html,Dr. Janusz E. Golec,5,1,Family Doctor / G.P.
"Dr. Richardson is a great family practice physician. He speaks to you like an adult and tells you the things that you need to hear, not what you want to hear. He t... Read more",ratemds.com/doctor-ratings/742477/Dr-FRED-Richardson-CHICAGO-IL.html,Dr. FRED Richardson,5,1,Family Doctor / G.P.
She is an excellent physician and I would highly recommend her.,ratemds.com/doctor-ratings/2514500/Dr-MORLIE-WANG-Chicago-IL.html,Dr. Morlie Wang,5,1,Family Doctor / G.P.
"Has very good bedside manner, very caring, very approachable.",ratemds.com/doctor-ratings/2557105/Dr-BEATA+Z.-KOWALCZYK+BUDZIAKOWSKA-CHICAGO-IL.html,Dr. Beata Z. Kowalczyk Budziakowska,5,1,Family Doctor / G.P.
"I have gone to Dr. Bozzano for at least ten years now. He is always highly attentive and caring, accurate in his diagnosis and takes time to answer all of my questi... Read more",ratemds.com/doctor-ratings/143630/Dr-Anthony-Bozzano-Chicago-IL.html,Dr. Anthony Bozzano,5,1,Family Doctor / G.P.
"Dr. Mackie is by far THE BEST doctor I have ever met and dealt with. Her knowledge, bed side manner, and most importantly compassion are qualities that other doctor... Read more",ratemds.com/doctor-ratings/175770/Dr-Orlanda+B.-Mackie-Chicago-IL.html,Dr. Orlanda B. Mackie,5,1,Family Doctor / G.P.
Great Doctor. Very pleasant. Thanks Dr. Florentino.,ratemds.com/doctor-ratings/dr-pocholo-florentino-md-chicago-il-us,"Dr. Pocholo Florentino, MD",5,1,Family Doctor / G.P.
A very helpful and articulate doctor!,ratemds.com/doctor-ratings/140738/Dr-Saqib-Ahmad-Chicago-IL.html,Dr. Saqib Ahmad,5,1,Family Doctor / G.P.
Dr. Dayon has an astonishing way of knowing what is wrong just by listening to you. I wouldn't trade him for the world.,ratemds.com/doctor-ratings/115770/Dr-Dominidor+L.-Dayon-CHICAGO-IL.html,Dr. Dominidor L. Dayon,5,1,Family Doctor / G.P.
"Best doctor ever, very very nice...........",ratemds.com/doctor-ratings/477300/Dr-Jose+F.-Elizondo-Chicago-IL.html,Dr. Jose F. Elizondo,5,1,Family Doctor / G.P.
"real good pediatrician,great knowledge.",ratemds.com/doctor-ratings/476907/Dr-Ila-Shah-Chicago-IL.html,Dr. Ila Shah,5,1,Family Doctor / G.P.
Very Warm and Nice person!,ratemds.com/doctor-ratings/473891/Dr-Jaime+O.-Bolano-Chicago-IL.html,Dr. Jaime O. Bolano,5,1,Family Doctor / G.P.
I have been a patient of Dr.Ramos for 20 years...I love her practice... I think she's a very good MD...,ratemds.com/doctor-ratings/1039686/Dr-Violeta+D.-Ramos-Chicago-IL.html,Dr. Violeta D. Ramos,5,1,Family Doctor / G.P.
"Outstanding, Competent Physician. Very caring. Imformative.",ratemds.com/doctor-ratings/478558/Dr-Vivek-Padha-Chicago-IL.html,Dr. Vivek Padha,5,1,Family Doctor / G.P.
Thank you Dr. Pecherek! My mother is so happy you were able to help her through such a difficult illness. Probably the most knowledgeable doctor we have ever seen.,ratemds.com/doctor-ratings/663270/Dr-Albert-Pecherek-Chicago-IL.html,Dr. Albert Pecherek,5,1,Family Doctor / G.P.
"Dr. Heitz is one the best I have seen. Very kind and very knowledge to very questioned asked. If need of a family doctor that you can trust and have no worries, Dr L... Read more",ratemds.com/doctor-ratings/3385614/Dr-LUKE+J.-HEITZ-Chicago-IL.html,Dr. Luke J. Heitz,5,1,Family Doctor / G.P.
"Very personable. Spends lots of time with you. If you're serious about your health, she works close with you to get you to where you want to be. Not a pill pusher... Read more",ratemds.com/doctor-ratings/3283260/Dr-RUSHIA-BUTLER-Manhattan-IL.html,Dr. Rushia Butler,5,1,Family Doctor / G.P.
"Dr. Bednarz is a breath of fresh air at the DuPage Medical Group! She actually take time to listen to you, examine, discuss and diagnose. No matter how many questio... Read more",ratemds.com/doctor-ratings/3377038/Dr-ANITA+K.-BEDNARZ-Chicago-IL.html,Dr. Anita K. Bednarz,5,1,Family Doctor / G.P.
"I took my daughter to Dr. Ruda and because she was so GREAT with her, I changed to her! So happy I did! Everytime I have a question, I just email her and she gets ri... Read more",ratemds.com/doctor-ratings/3377025/Dr-TOHFA+M.-RUDA-Chicago-IL.html,Dr. Tohfa M. Ruda,5,1,Family Doctor / G.P.
"very knowledgeable and willing to take the time to speak with you. I never felt rushed, as I have with past doctors. I would recommend her without hesitation.",ratemds.com/doctor-ratings/3516764/Dr-Mariya-Dmytriv-Chicago-IL.html,Dr. Mariya Dmytriv,5,1,Family Doctor / G.P.
Wish he could be our PCP but he's not in my health network. Luckily we usually get appointments with Dr Jain when our PCP is out of the office or full.,ratemds.com/doctor-ratings/3563065/Dr-SHIV+M.-JAIN-CHICAGO-IL.html,Dr. Shiv M. Jain,5,1,Family Doctor / G.P.
